,JANE
hope push peter,1.0
think already said,1.0
chasseur idiot ian,1.0
idiot ian done,1.0
kitchen got jam,1.0
fed giving christian,1.0
giving christian chance,1.0
<eol> get kitchen,1.0
jam top </eol>,1.0
christian chance </eol>,1.0
<eol> <eol> beg,1.0
<eol> beg pardon,1.0
beg pardon </eol>,1.0
pardon </eol> </eol>,1.0
got jam top,1.0
<eol> er,1.0
back house afterwards,1.0
tart kitchen got,1.0
<eol> point tonight,1.0
point tonight idea,1.0
one tart kitchen,1.0
tonight idea </eol>,1.0
<eol> oh pleased,1.0
oh pleased meet,1.0
<eol> jane nowadays,1.0
jane nowadays thank,1.0
nowadays thank christian,1.0
<eol> fed giving,1.0
<eol> <eol> fed,1.0
turning </eol> </eol>,1.0
typical turning </eol>,1.0
afterwards alright </eol>,1.0
half naked,1.0
<eol> trust one,1.0
trust one ian,1.0
one ian </eol>,1.0
good one </eol>,1.0
<eol> mmm mate,1.0
mmm mate </eol>,1.0
<eol> <eol> particularly,1.0
<eol> particularly </eol>,1.0
particularly </eol> </eol>,1.0
<eol> hope imagine,1.0
hope imagine right,1.0
imagine right er,1.0
right er let,1.0
er let go,1.0
let go going,1.0
kitchen hygienic </eol>,1.0
get kitchen hygienic,1.0
go going </eol>,1.0
<eol> typical turning,1.0
thank christian </eol>,1.0
<eol> bit hard,1.0
bit hard get,1.0
accountant later </eol>,1.0
<eol> <eol> covering,1.0
<eol> covering </eol>,1.0
covering </eol> </eol>,1.0
<eol> know incredible,1.0
know incredible </eol>,1.0
incredible </eol> </eol>,1.0
<eol> well wait,1.0
well wait cause,1.0
wait cause well,1.0
cause well know,1.0
well know see,1.0
know see christian,1.0
see christian </eol>,1.0
make sure,1.0
<eol> bobby go,1.0
front bobby </eol>,1.0
use front bobby,1.0
<eol> surprised way,1.0
surprised way talked,1.0
trying use front,1.0
way talked </eol>,1.0
lucy wait going,1.0
seeing accountant later,1.0
number one tart,1.0
go darlin </eol>,1.0
